context,has_disfluency,text
salary_increase,false,"I've taken on significantly more responsibility this year, including the Johnson account and mentoring two junior staff members. Based on market research and my contributions, I believe a 15% salary increase is appropriate. I'd like to discuss this with you."
salary_increase,false,"I wanted to schedule time to talk about my compensation. Over the past year, I've exceeded my performance goals and taken on the Johnson account, which has generated substantial revenue. I'm requesting a 15% raise and would appreciate your consideration."
salary_increase,false,"Can we discuss my salary? I've been doing research on market rates for my position, and with the additional responsibilities I've assumed this year—including the Johnson account—I feel a 15% increase would be fair and competitive."
salary_increase,false,"I'd like to talk about my pay. This year I've managed the Johnson account and mentored two people on the team. Looking at what others in similar roles are making, I think a 15% raise makes sense. What are your thoughts?"
salary_increase,false,"I'm hoping we can review my compensation today. Given my expanded role this year with the Johnson account and the mentoring I've been doing, I've prepared a case for a 15% salary adjustment based on market comparisons."
difficult_coworker,false,"I need to talk about a situation with a colleague. They've been taking credit for my work in team meetings, and when I've tried to address it directly, they've been dismissive. This has happened three times now, and it's affecting my ability to get recognition for my contributions. What's the best way to handle this?"
difficult_coworker,false,"There's an issue I need help with regarding a coworker. In our last three team meetings, they've presented my ideas as their own, and when I pulled them aside to discuss it, they brushed me off. I'm not sure whether to escalate this or try a different approach. What would you suggest?"
difficult_coworker,false,"I'm dealing with a challenging situation at work. A team member keeps claiming ownership of projects I've led, and my attempts to resolve it one-on-one haven't worked. It's becoming a pattern—this is the third instance—and I'm concerned about how it's impacting my reputation. How should I proceed?"
difficult_coworker,false,"I wanted to get your advice on something. There's someone on my team who's been taking credit for my contributions in meetings, and they won't acknowledge it when I bring it up privately. It's happened multiple times now, and I'm worried about how this reflects on me professionally. What's the right way to address this?"
difficult_coworker,false,"Can I talk to you about a workplace problem? A colleague has repeatedly presented my work as theirs during team discussions, and they've been unresponsive when I've tried to talk to them about it directly. I've documented three specific incidents so far. What do you think my next step should be?"
housing_inquiry,false,"Hello, I'm calling about the two-bedroom unit listed on your website. I'm relocating for work and need to move in by the first of next month. Could you tell me about the application process, required documentation, and whether the unit is still available?"
housing_inquiry,false,"Hi there, I saw your listing for a two-bedroom apartment online. I'm starting a new job in the area and my move-in date is the first of next month. Is the place still open, and what do I need to do to apply?"
